ID_geno;ID_modacourt;ID_IFVlong;ID_IFVcourt;Annee_croisement;Annee_plantation;mere;mere_clone;pere;pere_clone;parent_vinifera;pg;pg_clone;Rpv1;Rpv3_1;Rpv10;Run1;Ren3;couleur
RR030;ResRhod;P481-E03-IR-2016;P481-E03;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR031;ResRhod;P482-A03-IR-2016;P482-A03;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR032;ResRhod;P487-D08-IR-2016;P487-D08;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR033;ResRhod;P482-D07-IR-2016;P482-D07;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR034;ResRhod;P488-D05-IR-2016;P488-D05;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR035;ResRhod;P484-B08-IR-2016;P484-B08;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR036;ResRhod;P487-A03-IR-2016;P487-A03;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR037;ResRhod;P487-D05-IR-2016 ;P487-D05;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR038;ResRhod;P457-A01-IR-2016 ;P457-A01;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR039;ResRhod;P457-D09-IR-2016 ;P457-D09;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR040;ResRhod;P457-E05-IR-2016 ;P457-E05;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR041;ResRhod;P458-C07-IR-2016;P458-C07;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR042;ResRhod;P458-F07-IR-2016;P458-F07;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR043;ResRhod;P458-F10-IR-2016;P458-F10;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR044;ResRhod;P459-A06-IR-2016;P459-A06;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR045;ResRhod;P459-B10-IR-2016;P459-B10;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR046;ResRhod;P459-D04-IR-2016 ;P459-D04;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR047;ResRhod;P459-B09-IR-2016 ;P459-B09;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR048;ResRhod;P460-B09-gauche-IR-2016;P460-B09;2016;2019;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR049;ResRhod;P458-E03-IR-2016;P458-E03;2016;2021;Syrah;747 ou 525;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR050;ResRhod;P511-B08-IR-2016;P511-B08;2016;2021;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR051;ResRhod;P959-A03-IR-2017;P959-A03;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR052;ResRhod;P732-B09-IR-2017;P732-B09;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR053;ResRhod;P742-F02-IR-2017;P742-F02;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR054;ResRhod;P938-A07-IR-2017;P938-A07;2017;2021;Grenache;135;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR055;ResRhod;P724-E01-IR-2017;P724-E01;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR056;ResRhod;P719-B10-IR-2017;P719-B10;2017;2021;Grenache;70;Col48#59;;Grenache;140RU;101;oui;;oui;oui;oui;Blanche
RR057;ResRhod;P675-F06-IR-2017;P675-F06;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR058;ResRhod;P669-E04-IR-2017;P669-E04;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR059;ResRhod;P676-F05-IR-2017;P676-F05;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR060;ResRhod;P652-E08-IR-2017;P652-E08;2017;2021;Grenache;135;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR061;ResRhod;P948-B01-IR-2017;P948-B01;2017;2021;Syrah;1188;Col48#29;;Syrah;140RU;101;oui;;oui;oui;oui;N
RR062;ResRhod;P757-D06-IR-2017;P757-D06;2017;2021;Syrah;1188;Col48#29;;Syrah;140RU;101;oui;;oui;oui;oui;N
RR063;ResRhod;P733-E03-IR-2017;P733-E03;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR064;ResRhod;P948-C05-IR-2017;P948-C05;2017;2021;Syrah;1188;Col48#29;;Syrah;140RU;101;oui;;oui;oui;oui;N
RR065;ResRhod;P676-F03-IR-2017;P676-F03;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR066;ResRhod;P729-A04-IR-2017;P729-A04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR067;ResRhod;P717-D02-IR-2017;P717-D02;2017;2021;Grenache;70;Col48#59;;Grenache;140RU;101;oui;;oui;oui;oui;Blanche
RR068;ResRhod;P956-D01-IR-2017;P956-D01;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR069;ResRhod;P672-C08-IR-2017;P672-C08;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR070;ResRhod;P735-F04-IR-2017;P735-F04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR071;ResRhod;P732-C04-IR-2017;P732-C04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR072;ResRhod;P657-B04-IR-2017;P657-B04;2017;2021;Grenache;135;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR073;ResRhod;P948-B02-IR-2017;P948-B02;2017;2021;Syrah;1188;Col48#29;;Syrah;140RU;101;oui;;oui;oui;oui;N
RR074;ResRhod;P955-A08-IR-2017;P955-A08;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR075;ResRhod;P675-C08-IR-2017;P675-C08;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR076;ResRhod;P677-B03-IR-2017;P677-B03;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR077;ResRhod;P671-F05-IR-2017;P671-F05;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR078;ResRhod;P661-D01-IR-2017;P661-D01;2017;2021;Grenache;135;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR079;ResRhod;P748-C04-IR-2017;P748-C04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR080;ResRhod;P956-D05-IR-2017;P956-D05;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR081;ResRhod;P726-D04-IR-2017;P726-D04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR082;ResRhod;P725-A08-IR-2017;P725-A08;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR083;ResRhod;P939-C07-IR-2017;P939-C07;2017;2021;Grenache;135;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR084;ResRhod;P725-C07-IR-2017;P725-C07;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR085;ResRhod;P730-A03-IR-2017;P730-A03;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR086;ResRhod;P737-B04-IR-2017;P737-B04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR087;ResRhod;P734-B06-IR-2017;P734-B06;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR088;ResRhod;P957-A06-IR-2017;P957-A06;2017;2021;Grenache;1212;Col48#29;;Grenache;140RU;101;oui;;oui;oui;oui;N
RR089;ResRhod;P730-D08-IR-2017;P730-D08;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR090;ResRhod;P675-F10-IR-2017;P675-F10;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR091;ResRhod;P728-E08-IR-2017;P728-E08;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR092;ResRhod;P727-B07-IR-2017;P727-B07;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR093;ResRhod;P728-C07-IR-2017;P728-C07;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR094;ResRhod;P748-E04-IR-2017;P748-E04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR095;ResRhod;P676-E04-IR-2017;P676-E04;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR096;ResRhod;P669-E02-IR-2017;P669-E02;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR097;ResRhod;P651-E08-IR-2017;P651-E08;2017;2021;Grenache;135;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR098;ResRhod;P934-A06-IR-2017;P934-A06;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR099;ResRhod;P682-B01-IR-2017;P682-B01;2017;2021;Grenache;135;Col48#29;;Grenache;140RU;101;oui;;oui;oui;oui;N
RR100;ResRhod;P743-B07-IR-2017;P743-B07;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR101;ResRhod;P764-C01-IR-2017;P764-C01;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR102;ResRhod;P709-B07-IR-2017;P709-B07;2017;2021;Grenache;70;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR103;ResRhod;P765-E05-IR-2017;P765-E05;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR104;ResRhod;P730-F02-IR-2017;P730-F02;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR105;ResRhod;P661-E07-IR-2017;P661-E07;2017;2021;Grenache;135;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR106;ResRhod;P723-F01-IR-2017;P723-F01;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR107;ResRhod;P956-B01-IR-2017;P956-B01;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR108;ResRhod;P748-B10-IR-2017;P748-B10;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR109;ResRhod;P959-A08-IR-2017;P959-A08;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR110;ResRhod;P741-D10-IR-2017;P741-D10;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR111;ResRhod;P676-E01-IR-2017;P676-E01;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR112;ResRhod;P749-F07-IR-2017;P749-F07;2017;2021;Syrah;1188;Col48#29;;Syrah;140RU;101;oui;;oui;oui;oui;Blanche
RR113;ResRhod;P727-F01-IR-2017;P727-F01;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR114;ResRhod;P667-B03-IR-2017;P667-B03;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR115;ResRhod;P939-A08-IR-2017;P939-A08;2017;2021;Grenache;135;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR116;ResRhod;P675-E03-IR-2017;P675-E03;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR117;ResRhod;P723-E04-IR-2017;P723-E04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR118;ResRhod;P765-D05-IR-2017;P765-D05;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR119;ResRhod;P948-A01-IR-2017;P948-A01;2017;2021;Syrah;1188;Col48#29;;Syrah;140RU;101;oui;;oui;oui;oui;N
RR120;ResRhod;P721-A03-IR-2017;P721-A03;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR121;ResRhod;P671-A05-IR-2017;P671-A05;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR122;ResRhod;P959-B08-IR-2017;P959-B08;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR123;ResRhod;P959-A02-IR-2017;P959-A02;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR124;ResRhod;P731-C03-IR-2017;P731-C03;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR125;ResRhod;P669-E03-IR-2017;P669-E03;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR126;ResRhod;P959-A05-IR-2017;P959-A05;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR127;ResRhod;P663-D07-IR-2017;P663-D07;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR128;ResRhod;P955-B04-IR-2017;P955-B04;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR129;ResRhod;P959-D06-IR-2017;P959-D06;2017;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR130;ResRhod;P753-B03-IR-2017;P753-B03;2017;2021;Syrah;1188;Col48#29;;Syrah;140RU;101;oui;;oui;oui;oui;Blanche
RR131;ResRhod;P675-C05-IR-2017;P675-C05;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR132;ResRhod;P729-A08-IR-2017;P729-A08;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR133;ResRhod;P739-A06-IR-2017;P739-A06;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR134;ResRhod;P747-C01-IR-2017;P747-C01;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR135;ResRhod;P731-D03-IR-2017;P731-D03;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR136;ResRhod;P727-C10-IR-2017;P727-C10;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR137;ResRhod;P673-E04-IR-2017;P673-E04;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR138;ResRhod;P748-A03-IR-2017;P748-A03;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR139;ResRhod;P733-E02-IR-2017;P733-E02;2017;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR140;ResRhod;P996-D04-IR-2018;P996-D04;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR141;ResRhod;P995-D01-IR-2018;P995-D01;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR142;ResRhod;P994-D07-IR-2018;P994-D07;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR143;ResRhod;P1002-C01-IR-2018;P1002-C0;2018;2021;Grenache;#N/A;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR144;ResRhod;P995-B04-IR-2018;P995-B04;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR145;ResRhod;P995-B02-IR-2018;P995-B02;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR146;ResRhod;P1001-D05-IR-2018;P1001-D0;2018;2021;Grenache;#N/A;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR147;ResRhod;P1001-B03-IR-2018;P1001-B0;2018;2021;Grenache;#N/A;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR148;ResRhod;P995-D06-IR-2018;P995-D06;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR149;ResRhod;P993-C05-IR-2018;P993-C05;2018;2021;Syrah;1188;Col48#29;;Syrah;140RU;101;oui;;oui;oui;oui;N
RR150;ResRhod;P1002-D08-IR-2018;P1002-D0;2018;2021;Grenache;#N/A;D04-PL4;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR151;ResRhod;P997-C03-IR-2018;P997-C03;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR152;ResRhod;P997-D06-IR-2018;P997-D06;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR153;ResRhod;P990-A02-IR-2018;P990-A02;2018;2021;Syrah;1188;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR154;ResRhod;P995-C05-IR-2018;P995-C05;2018;2021;Syrah;1188;D04-PL4;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR155;ResRhod;P669-D03-IR-2017;P669-D03;2017;2021;Grenache;135;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
Vidoc;Vidoc;;;;2019;;;;;;140RU;101;;;;;;N
Floreal;Floreal;;;;2019;;;;;;140RU;101;;;;;;Blanche
Vidoc;Vidoc;;;;2021;;;;;;140RU;101;;;;;;N
Floreal;Floreal;;;;2021;;;;;;140RU;101;;;;;;Blanche
RM01;ResDie;P793-A08-CLD-2017;P793-A08;2017;2021;Muscat PG;0;A01-PL1;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM02;ResDie;P810-E04-CLD-2017;P810-E04;2017;2021;Muscat PG;0;H02-PL3;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM03;ResDie;P780-C03-CLD-2017;P780-C03;2017;2021;Muscat PG;0;C03-PL5;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM04;ResDie;P799-B06-CLD-2017;P799-B06;2017;2021;Muscat PG;0;H02-PL3;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM05;ResDie;P811-B09-CLD-2017;P811-B09;2017;2021;Muscat PG;0;H02-PL3;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM06;ResDie;P808-A05-CLD-2017;P808-A05;2017;2021;Muscat PG;0;H02-PL3;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM07;ResDie;P776-D10-CLD-2017;P776-D10;2017;2021;Muscat PG;0;E05-PL8;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM08;ResDie;P935-B06-CLD-2017;P935-B06;2017;2021;Muscat PG;0;C03-PL5;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM09;ResDie;P945-A05-CLD-2017;P945-A05;2017;2021;Muscat PG;0;A01-PL1;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM10;ResDie;P937-A08-CLD-2017;P937-A08;2017;2021;Muscat PG;0;C03-PL5;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM11;ResDie;P946-A06-CLD-2017;P946-A06;2017;2021;Muscat PG;0;A01-PL1;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM12;ResDie;P795-A10-CLD-2017;P795-A10;2017;2021;Muscat PG;0;A01-PL1;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM13;ResDie;P803-E07-CLD-2017;P803-E07;2017;2021;Muscat PG;0;H02-PL3;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM14;ResDie;P780-D03-CLD-2017;P780-D03;2017;2021;Muscat PG;0;C03-PL5;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM15;ResDie;P931-B04-CLD-2017;P931-B04;2017;2021;Muscat PG;0;H02-PL3;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM16;ResDie;P787-D01-CLD-2017;P787-D01;2017;2021;Muscat PG;0;C03-PL5;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM17;ResDie;P936-B05-CLD-2017;P936-B05;2017;2021;Muscat PG;0;C03-PL5;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM18;ResDie;P774-A08-CLD-2017;P774-A08;2017;2021;Muscat PG;0;E05-PL8;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM19;ResDie;P793-C10-CLD-2017;P793-C10;2017;2021;Muscat PG;0;A01-PL1;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
RM20;ResDie;P781-C10-CLD-2017;P781-C10;2017;2021;Muscat PG;0;C03-PL5;;Muscat PG;140RU;265;oui;oui;;oui;oui;Blanche
