ID_placette;pct_defoliation;pct_grappes_exposées;LP_EC
RR120;20;90;
RR121;;;
RR122;10;10;
RR123;5;5;
RR124;20;20;
RR125;25;35;
RR126;15;60;
RR127;;;
RR128;20;70;
RR129;15;80;
RR130;10;60;
RR131;;;
RR132;10;25;
RR133;50;30;
RR134;20;25;
RR135;25;0;
RR136;30;20;
RR137;20;70;
RR138;20;50;
RR139;5;20;
RR140;15;45;
RR141;25;60;
RR142;15;50;
RR143;10;40;
RR144;30;20;
RR145;35;70;
RR146;20;25;
RR147;15;40;
RR148;20;80;
RR149;20;50;
RR150;5;30;
RR151;15;30;
RR152;20;40;
RR153;30;60;
RR154;40;70;
RR155;;;
RR156;;;
RR157;;;
RR158;;;
RR159;;;
RR160;;;
RR161;;;
RR162;;;
RR163;;;
RR164;;;
RR165;;;
RR166;;;
RR167;;;
RR168;;;
RR169;;;
RR170;;;
RR171;;;
Selenor_01;;;
Selenor_02;;;
Selenor_03;;;
Selenor_04;;;
Selenor_05;;;
Selenor_Tete;;;
Selenor_Tete;;;
Sirano_01;;;
Sirano_02;;;
Sirano_03;;;
Sirano_04;;;
Sirano_05;;;
Sirano_06;;;
Syrah_01;;;
Syrah_02;;;
Syrah_03;;;
Syrah_04;;;
Syrah_05;;;
Syrah_06;;;
Syrah_07;;;
Syrah_08;10;30;EC
Syrah_09;;;
Syrah_10;;;
Syrah_11;;;
Syrah_12;;;
Syrah_13;;;
Syrah_14;10;10;EC
Syrah_15;;;
Syrah_16;;;
Syrah_17;;;
Syrah_18;;;
Syrah_19;;;
Syrah_20;;;
Syrah_21;;;
Syrah_22;;;
Syrah_23;;;
Syrah_23;;;
Syrah_24;;;
Syrah_24;;;
Tete_mix;;;
Tete_mix;;;
Tete_mix;;;
Tete_mix;;;
Vidoc_01;30;80;NON
Vidoc_02;15;15;
Vidoc_03;30;75;
Vidoc_04;25;90;
Vidoc_05;30;80;
Vidoc_06;25;60;
Vidoc_07;30;60;
Vidoc_08;25;90;
Vidoc_09;20;80;
Vidoc_10;20;60;
Vidoc_11;25;80;
Vidoc_12;30;80;
Vidoc_13;;;
Vidoc_Tete;;;
